Tweet,Location,Date
The cranes are flying high today.,Kampala,2024-01-24
It's an average day.,Entebbe,2024-08-24
I saw a lot of cows in town.,Kampala,2024-05-21
Happy to be here!,Kampala,2024-08-19
A random observation about the people.,Entebbe,2024-07-25
Excited about the future!,Uganda,2024-12-10
Lots of events happening around.,Entebbe,2024-07-01
Excited about the future!,Kampala,2024-01-13
Traffic jam is unbearable today.,Kampala,2024-06-03
The weather is amazing!,Kampala,2024-02-12
Feeling sad about the news.,Entebbe,2024-11-21
Unbearable heat in the city!,Kampala,2024-06-14
This place is paradise!,Entebbe,2024-04-08
Love the culture here!,Kampala,2024-03-19
Feeling grateful and happy!,Kampala,2024-07-13
I hate waiting in traffic.,Uganda,2024-09-22
Such a beautiful day!,Kampala,2024-02-02
I feel so frustrated today.,Kampala,2024-04-15
Proud of our country!,Entebbe,2024-06-01
"Nothing new, just usual sights.",Uganda,2024-08-29
The day could not be worse.,Entebbe,2024-05-03
Love the culture here!,Kampala,2024-06-06
Traffic jam is unbearable today.,Kampala,2024-11-07
It's just another ordinary day.,Entebbe,2024-07-09
The weather is amazing!,Kampala,2024-02-12
Proud of our country!,Uganda,2024-11-11
This new policy is a disaster.,Uganda,2024-05-20
Such a beautiful day!,Kampala,2024-08-13
Excited about the future!,Uganda,2024-07-01
Feeling sad about the news.,Entebbe,2024-03-17
The only exciting news today is about cranes!,Kampala,2024-10-04
I saw a lot of cows in town.,Kampala,2024-06-21
The streets are busy.,Uganda,2024-12-04
It's an average day.,Entebbe,2024-10-16
Excited for the upcoming elections!,Kampala,2024-03-26
This place is paradise!,Kampala,2024-09-14
"Nothing new, just usual sights.",Uganda,2024-12-01
I feel so frustrated today.,Kampala,2024-11-06
Such a beautiful day!,Entebbe,2024-04-13
The weather is amazing!,Kampala,2024-07-06
The cranes are flying high today.,Kampala,2024-06-11
I hate waiting in traffic.,Uganda,2024-01-30
I saw a lot of cows in town.,Uganda,2024-05-07
Feeling grateful and happy!,Entebbe,2024-02-01
Traffic jam is unbearable today.,Kampala,2024-12-12
I feel so frustrated today.,Kampala,2024-09-09
Proud of our country!,Entebbe,2024-11-10
The weather is amazing!,Uganda,2024-10-20
Love the culture here!,Kampala,2024-01-18
The only exciting news today is about cranes!,Uganda,2024-08-07
Such a beautiful day!,Kampala,2024-12-21
Feeling sad about the news.,Kampala,2024-09-04
I hate waiting in traffic.,Uganda,2024-11-30
Excited about the future!,Entebbe,2024-01-07
I feel so frustrated today.,Uganda,2024-10-01
"Nothing new, just usual sights.",Kampala,2024-04-04
The day could not be worse.,Entebbe,2024-06-16
Excited about the future!,Entebbe,2024-08-19
I just saw very many cows in town and it felt surprising.,Entebbe,2024-10-09
Feeling grateful and happy!,Kampala,2024-03-01
The only exciting news today is about cranes!,Uganda,2024-02-27
Such a beautiful day!,Kampala,2024-04-11
I hate waiting in traffic.,Entebbe,2024-08-21
"Nothing new, just usual sights.",Kampala,2024-03-23
The weather is amazing!,Uganda,2024-09-29
The cranes are flying high today.,Kampala,2024-02-14
Excited about the future!,Kampala,2024-05-25
Love the culture here!,Uganda,2024-07-04
Such a beautiful day!,Entebbe,2024-01-10
Proud of our country!,Uganda,2024-04-19
I feel so frustrated today.,Kampala,2024-08-27
The only exciting news today is about cranes!,Kampala,2024-09-07
The weather is amazing!,Kampala,2024-01-02
Feeling grateful and happy!,Uganda,2024-07-28
Excited about the future!,Entebbe,2024-11-15
Proud of our country!,Uganda,2024-03-11
"Nothing new, just usual sights.",Entebbe,2024-12-06
The cranes are flying high today.,Kampala,2024-10-02
The weather is amazing!,Kampala,2024-04-30
Traffic jam is unbearable today.,Kampala,2024-11-25
Such a beautiful day!,Uganda,2024-05-18
I hate waiting in traffic.,Entebbe,2024-01-23
I feel so frustrated today.,Kampala,2024-06-05
Feeling grateful and happy!,Uganda,2024-09-18
Love the culture here!,Entebbe,2024-12-08
The only exciting news today is about cranes!,Entebbe,2024-03-14
I just saw very many cows in town and it felt surprising.,Uganda,2024-10-26
"Nothing new, just usual sights.",Uganda,2024-07-20
I hate waiting in traffic.,Uganda,2024-06-12
Such a beautiful day!,Entebbe,2024-12-05
Excited about the future!,Uganda,2024-04-28
The weather is amazing!,Kampala,2024-08-09
Traffic jam is unbearable today.,Uganda,2024-01-27
Love the culture here!,Kampala,2024-03-13
The only exciting news today is about cranes!,Entebbe,2024-06-19
Feeling grateful and happy!,Uganda,2024-02-22
